StockID,MAE test loss (accuracy),train test loss dif %,fit
AMZN,1.5281773805618286,1.2773832627762225,Overfitting
CRWD,3.118691921234131,3.5226735825597935,Overfitting
GOOG,1.4889599084854126,-6.514978087683844,Underfitting
LMT,1.2254575490951538,-12.248791166391587,Underfitting
MSFT,1.3758808374404907,-9.024328492585013,Underfitting
NVDA,2.89328670501709,-4.923707915565732,Underfitting
ORCL,1.4254683256149292,-8.616908611062328,Underfitting
AAPL,1.4621460437774658,-11.388748914066296,Underfitting
QCOM,1.9313044548034668,-6.472646191080811,Underfitting
TSLA,3.4016759395599365,-3.098536201851033,Underfitting
PLTR,4.850916385650635,4.092192381347632,Overfitting
AMD,3.2315785884857178,-5.373944096287165,Underfitting
INTC,1.8335691690444946,-10.431877510262332,Underfitting
PYPL,1.8952553272247314,-10.678637791631276,Underfitting
MRNA,4.9454026222229,0.712622680638221,Marginal
META,1.808728814125061,-12.974418142863648,Underfitting
AVGO,1.9509786367416382,-8.141852686113554,Underfitting
NFLX,2.2141435146331787,-8.514166486882663,Underfitting
GOOGL,1.4420539140701294,-11.926209739804694,Underfitting
TMUS,1.2732526063919067,-16.021310714287118,Underfitting
ADSK,1.8703047037124634,-6.648707537717145,Underfitting
ADBE,1.6135132312774658,-10.231114028138942,Underfitting
